date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:12	66694/66694	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2017:28:36%20GMT	https://egepenakcayapi.com/	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/index.html	(from )
16:28:12	122/122	---M-Z	200	added ('OK')	text/plain	date:Mon,%2009%20Feb%202026%2013:28:13%20GMT	https://egepenakcayapi.com/robots.txt		(from )
16:28:13	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2013:28:13%20GMT	http://egepenakcayapi.com/wp-content/cache/wpfc-minified/76wznts3/9rf2c.css	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/wp-content/cache/wpfc-minified/76wznts3/9rf2c.1.delayed	(from https://egepenakcayapi.com/)
16:28:13	198943/198943	---M--	200	added ('OK')	text/javascript	etag:16167077915998226356	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1402695873572366	C:/Benim%20Web%20Sitem/yedekk/pagead2.googlesyndication.com/pagead/js/f299b.txt	(from https://egepenakcayapi.com/)
16:28:13	116100/116100	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202025%2008:06:30%20GMT	https://egepenakcayapi.com/wp-content/cache/wpfc-minified/76wznts3/9rf2c.css	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/wp-content/cache/wpfc-minified/76wznts3/9rf2c.css	(from https://egepenakcayapi.com/)
16:28:13	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2013:28:14%20GMT	http://egepenakcayapi.com/wp-content/cache/wpfc-minified/7x953ny0/9rf2c.css	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/wp-content/cache/wpfc-minified/7x953ny0/9rf2c.css	(from https://egepenakcayapi.com/)
16:28:13	14739/14739	---MCZ	200	added ('OK')	text/xml	date:Mon,%2009%20Feb%202026%2013:28:14%20GMT	https://egepenakcayapi.com/feed/	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/feed/index.html	(from https://egepenakcayapi.com/)
16:28:13	115799/115799	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202025%2008:06:30%20GMT	https://egepenakcayapi.com/wp-content/cache/wpfc-minified/7x953ny0/9rf2c.css	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/wp-content/cache/wpfc-minified/7x953ny0/9rf2c.css	(from https://egepenakcayapi.com/)
16:28:14	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2013:28:14%20GMT	http://egepenakcayapi.com/wp-content/cache/wpfc-minified/ldevx7ms/9rf2c.js	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/wp-content/cache/wpfc-minified/ldevx7ms/9rf2c.js	(from https://egepenakcayapi.com/)
16:28:14	769/769	---M-Z	200	added ('OK')	text/xml	date:Mon,%2009%20Feb%202026%2013:28:15%20GMT	https://egepenakcayapi.com/comments/feed/	C:/Benim%20Web%20Sitem/yedekk/egepenakcayapi.com/comments/feed/index.html	(from https://egepenakcayapi.com/)
